Serial No,movie_id,movie_name,year,genre,overview,director,cast,poster_url,rating,votes
60,tt2980648,The Hundred-Foot Journey,2014,"Comedy, Drama",The Kadam family leaves India for France where they open a restaurant directly across the road from Madame Mallory's Michelin-starred eatery.,Lasse Hallström,"Helen Mirren, Om Puri, Manish Dayal, Charlotte Le Bon",https://m.media-amazon.com/images/M/MV5BMTQ3Mjg2MTE4M15BMl5BanBnXkFtZTgwMzcyNDMwMjE@._V1_.jpg,7.3,87675
61,tt10811166,The Kashmir Files,2022,Drama,"A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth.",Vivek Agnihotri,"Mithun Chakraborty, Anupam Kher, Darshan Kumaar, Pallavi Joshi",https://m.media-amazon.com/images/M/MV5BYzJkZDIwYTAtMGU4Mi00NzU3LWI1MWItODg0M2Q1NmIxYmNlXkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_.jpg,8.6,573699
62,tt22892546,Akelli,2023,"Drama, Thriller",An ordinary Indian girl gets trapped in a war-torn land and survival is her battle.,Pranay Meshram,"Nushrratt Bharuccha, Amir Boutrous, Nishant Dahiya, Vijay Kumar Dogra",https://m.media-amazon.com/images/M/MV5BNTkxMWVhYjEtZDZmMy00NWU5LTljMzQtYTI3NTAyNWM0NDcyXkEyXkFqcGc@._V1_.jpg,6,6194
63,tt2283748,OMG: Oh My God!,2012,"Comedy, Drama, Fantasy",A shopkeeper takes God to court when his shop is destroyed by an earthquake.,Umesh Shukla,"Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Mahesh Manjrekar",https://m.media-amazon.com/images/M/MV5BMzhmY2E3MDctYjAzOS00ZmQyLTk2M2QtODg0MWU0Y2VjNWRkXkEyXkFqcGc@._V1_.jpg,8.1,65434
64,tt12915716,Adipurush,2023,"Action, Adventure, Drama",A modern adaptation of the Indian epic Ramayana which follows the exiled prince Raghav's journey to rescue his wife Janaki from the raakshash king Lankesh.,Om Raut,"Kriti Sanon, Saif Ali Khan, Prabhas, Devdutta Nage",https://m.media-amazon.com/images/M/MV5BMTIwZWI0Y2YtZGJhZC00MjU4LTliZTUtODVjZjk4Y2FlYzI1XkEyXkFqcGdeQXVyMTE0MTY2Mzk2._V1_.jpg,2.7,133501
65,tt15073166,IB 71,2023,"Action, Thriller",A two- front war between Indian intelligence agencies and the Pakistani establishment.,"Sankalp Reddy, Lee Whittaker","Anupam Kher, Vidyut Jammwal, Dalip Tahil, Nissar Khan",https://m.media-amazon.com/images/M/MV5BOWMwNzlmZjQtMzFhZi00ZjUzLThmMmQtYzNkZGMxYTc4YWRhXkEyXkFqcGc@._V1_.jpg,7.1,11109
66,tt5935704,Padmaavat,2018,"Drama, History, Romance","Set in medieval Rajasthan, Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Mewar.",Sanjay Leela Bhansali,"Deepika Padukone, Ranveer Singh, Shahid Kapoor, Aditi Rao Hydari",https://m.media-amazon.com/images/M/MV5BNjM4MzFhOTItMzNmYy00NTg4LWFjYzItMWY0ZDAxY2NmNTUyXkEyXkFqcGc@._V1_.jpg,7.1,36978
67,tt1562872,Zindagi Na Milegi Dobara,2011,"Comedy, Drama, Musical",Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,Zoya Akhtar,"Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif",https://m.media-amazon.com/images/M/MV5BOGIzYzg5NzItNDRkYS00NmIzLTk3NzQtZWYwY2VlZDhiYWQ4XkEyXkFqcGc@._V1_.jpg,8.2,86012
68,tt2176013,Jab Tak Hai Jaan,2012,"Drama, Romance",An uncompromising film on true love from the legendary and unforgettable director Yash Chopra which is fascinatingly distinctive and contemporary.,Yash Chopra,"Shah Rukh Khan, Katrina Kaif, Anushka Sharma, Lucy Phelps",https://m.media-amazon.com/images/M/MV5BMTUyMzM5OTM5NF5BMl5BanBnXkFtZTcwNTIwMjA3OA@@._V1_.jpg,6.7,59184
69,tt15128068,Monica O My Darling,2022,"Comedy, Crime, Drama","A slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing not even death , is what it seems to be.",Vasan Bala,"Rajkummar Rao, Huma Qureshi, Sikandar Kher, Bagavathi Perumal",https://m.media-amazon.com/images/M/MV5BYTZjNzI1ZTItOTE5Ny00MjBjLWE1NjUtOWRkZWVkOTk2OTZmXkEyXkFqcGdeQXVyOTI3MzI4MzA@._V1_.jpg,7.4,21236
70,tt14099334,Bhediya,2022,"Comedy, Fantasy, Horror","Set in the forests of Arunachal, Bhediya is a story of Bhaskar, a man who gets bitten by a wolf, and begins to transform into the creature. As Bhaskar and his buddies try to find answers, a bunch of twists, turns, and laughs ensue.",Amar Kaushik,"Varun Dhawan, Kriti Sanon, Abhishek Banerjee, Deepak Dobriyal",https://m.media-amazon.com/images/M/MV5BNDA5OWE3YTUtNjU0Mi00MWI0LTg3ODgtYmUwNzdkNTdiOWQ2XkEyXkFqcGdeQXVyOTI3MzI4MzA@._V1_.jpg,6.7,25254
71,tt1562871,Ra.One,2011,"Action, Adventure, Sci-Fi","When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family.",Anubhav Sinha,"Shah Rukh Khan, Arjun Rampal, Kareena Kapoor, Shahana Goswami",https://m.media-amazon.com/images/M/MV5BMTMxOGEzNTItNzY0Zi00ODg3LWJmZDMtMDcyZDE2MWZmNDg3XkEyXkFqcGc@._V1_.jpg,4.9,48454
72,tt10028196,Laal Singh Chaddha,2022,"Comedy, Drama, Romance","The story of Laal Singh Chaddha, a simple man whose extraordinary journey will fill you with love, warmth and happiness.",Advait Chandan,"Aamir Khan, Ahmad Ibn Umar, Kareena Kapoor, Hafsa Ashraf",https://m.media-amazon.com/images/M/MV5BMTVjYTExMTAtYmJlNy00MzM5LThkYTctNTQzMjU5NDFjOWJiXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg,5.6,178084
73,tt1285241,Don 2,2011,"Action, Crime, Thriller","Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin.",Farhan Akhtar,"Shah Rukh Khan, Florian Lukas, Om Puri, Priyanka Chopra Jonas",https://m.media-amazon.com/images/M/MV5BYzQyM2QwMjYtM2Y1OS00MWI5LWJhYmEtMjFhYWJhMjI1MjA0XkEyXkFqcGc@._V1_.jpg,7.1,58438
74,tt15654262,Chup,2022,"Crime, Drama, Mystery",A crime thriller in which police are on the hunt for a killer who is targeting film critics.,R. Balki,"Dulquer Salmaan, Shreya Dhanwanthary, Sunny Deol, Pooja Bhatt",https://m.media-amazon.com/images/M/MV5BYjMyZTZkYTMtMzk3MS00NGY3LTgzNzQtYTgwZmIwODRmNmJmXkEyXkFqcGc@._V1_.jpg,7.5,26194
75,tt0172684,Kuch Kuch Hota Hai,1998,"Comedy, Drama, Musical","During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali.",Karan Johar,"Shah Rukh Khan, Kajol, Rani Mukerji, Sana Saeed",https://m.media-amazon.com/images/M/MV5BNGNhNWMwNTgtZmNlOS00OGM3LWIxYzItOWQwZDJjMzQ3MzRlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,7.5,57668
76,tt0461936,Don,2006,"Action, Crime, Thriller","Vijay is recruited by a police officer to masquerade as his lookalike Don, the leader of an international gang of smugglers. Things go wrong when the officer is killed and Vijay is left to fend for himself.",Farhan Akhtar,"Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal, Isha Koppikar",https://m.media-amazon.com/images/M/MV5BYjBmOTg2NTgtZTc2Mi00ZWRhLTkzMWQtMDI0YThhZTcyMzYwXkEyXkFqcGc@._V1_.jpg,7.1,41674
77,tt0238936,Devdas,2002,"Drama, Musical, Romance","After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.",Sanjay Leela Bhansali,"Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff",https://m.media-amazon.com/images/M/MV5BY2QxMGM4Y2QtMGFmMy00ZjZkLWExMWQtNTY1Yjc0MDFjZjY0XkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_.jpg,7.5,47553
78,tt8130968,Badla,2019,"Crime, Drama, Mystery",A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,Sujoy Ghosh,"Amitabh Bachchan, Taapsee Pannu, Amrita Singh, Antonio Aakeel",https://m.media-amazon.com/images/M/MV5BMDEyNjI2NTktZmJlMy00Njk5LTk2OGQtMjI5NTAwNWRiZmFlXkEyXkFqcGc@._V1_.jpg,7.7,32043
79,tt11905536,Gumraah,2023,"Action, Crime, Drama",The murder investigation of a young man takes an unexpected turn when the cops discover that the prime suspect has a lookalike.,Vardhan Ketkar,"Aditya Roy Kapoor, Mrunal Thakur, Ronit Roy, Vedika Pinto",https://m.media-amazon.com/images/M/MV5BZjFjYzk2YTAtNTY4My00NjYxLWI0OGUtMThhYWZhNTllYWMwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,6.5,6126
80,tt2350496,The Lunchbox,2013,"Drama, Romance",A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,Ritesh Batra,"Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey",https://m.media-amazon.com/images/M/MV5BMTUwMzc1NjIzMV5BMl5BanBnXkFtZTgwODUyMTIxMTE@._V1_.jpg,7.8,60927
81,tt15576460,Zara Hatke Zara Bachke,2023,"Comedy, Drama, Family","Kapil and Somya are a happily married couple from Indore who live in a joint family and decide to get a divorce one fine day. Things don't go as planned as their family gets to know of it, and thus begins a comedy of errors.",Laxman Utekar,"Vicky Kaushal, Sara Ali Khan, Inaamulhaq, Sushmita Mukherjee",https://m.media-amazon.com/images/M/MV5BNGZmMjg3ZDEtZDRmZC00ZGNjLTlkZDktYWY4YWFhZTIwYjA0XkEyXkFqcGc@._V1_.jpg,6,16169
82,tt0891592,Street Fighter: The Legend of Chun-Li,2009,"Action, Crime, Fantasy","When a child, Chun-Li sees her father being captured by wealthy gangster Bison. When she grows up, she goes into a quest for justice and bring down the criminal organization Shadaloo which is led by Bison.",Andrzej Bartkowiak,"Kristin Kreuk, Neal McDonough, Michael Clarke Duncan, Chris Klein",https://m.media-amazon.com/images/M/MV5BMTQ2Mzc1MDc5MV5BMl5BanBnXkFtZTcwMDk1NTIzMg@@._V1_.jpg,3.7,25632
83,tt13334578,Ganapath,2023,"Action, Drama, Sci-Fi","In a dystopian future, Ganapath, a relentless and skilled vigilante, embarks on a mission to dismantle a powerful criminal empire that has gripped the city in fear, Ganapath becomes a symbol of hope for the oppressed in which leads dark.",Vikas Bahl,"Tiger Shroff, Himanshu Jaykar, Kriti Sanon, Amitabh Bachchan",Not Available,2.7,10514
84,tt12735488,Kalki 2898-AD,2024,"Action, Drama, Fantasy","A modern-day avatar of Vishnu, a Hindu god, who is believed to have descended to earth to protect the world from evil forces.",Nag Ashwin,"Deepika Padukone, Amitabh Bachchan, Dulquer Salmaan, Disha Patani",https://m.media-amazon.com/images/M/MV5BMTM3ZGUwYTEtZTI5NS00ZmMyLTk2YmQtMWU4YjlhZTI3NjRjXkEyXkFqcGc@._V1_.jpg,7.7,38702
85,tt0347304,Kal Ho Naa Ho,2003,"Comedy, Drama, Musical","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",Nikkhil Advani,"Preity G Zinta, Shah Rukh Khan, Saif Ali Khan, Jaya Bachchan",https://m.media-amazon.com/images/M/MV5BMDNjZmRmMjEtMDA5NS00ZjIxLWJlYWQtNTIyM2FiZjg4NzM4XkEyXkFqcGc@._V1_.jpg,7.9,75560
86,tt0361411,Bride & Prejudice,2004,"Comedy, Drama, Musical","A modern adaptation of Jane Austen's classic novel, Pride and Prejudice, that features the lives of four unmarried daughters in an Indian family.",Gurinder Chadha,"Martin Henderson, Aishwarya Rai Bachchan, Nadira Babbar, Anupam Kher",https://m.media-amazon.com/images/M/MV5BZjI2N2M3YzYtNTI3OS00ZTgxLTg1OWEtOTQ1NWY3N2NlMDYwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,6.2,21788
87,tt6571548,The White Tiger,2021,"Crime, Drama",An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.,Ramin Bahrani,"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Vedant Sinha",https://m.media-amazon.com/images/M/MV5BMDVkMDRkMzItN2EyYS00ZTI5LTljYzgtNzRmZDQ0OTQ3M2VjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg,7.1,65580
88,tt27989067,Lust Stories 2,2023,"Drama, Romance","Four eminent Indian directors explore sex, desire and love through short films in this sequel to 2018's Emmy-nominated ""Lust Stories"".","R. Balki, Sujoy Ghosh, Amit Ravindernath Sharma, Konkona Sen Sharma","Tamannaah Bhatia, Vijay Varma, Neena Gupta, Mrunal Thakur",https://m.media-amazon.com/images/M/MV5BMzhmOGQxMjQtYmFkOC00MTc0LTk2N2UtMTc4NzVlNzcyNWNlXkEyXkFqcGdeQXVyMTU2MTIyODU2._V1_.jpg,5.8,51340
89,tt3735246,Bajirao Mastani,2015,"Action, Drama, History","An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand.",Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Priyanka Chopra Jonas, Tanvi Azmi",https://m.media-amazon.com/images/M/MV5BYjNjYzk0NDMtNjU3NC00ZTRhLTkwNmMtN2FhYzc5MmNiNjg4XkEyXkFqcGc@._V1_.jpg,7.2,38581
90,tt0195002,Kaun?,1999,"Mystery, Thriller","While alone in the house, a woman hears news of serial killer on the loose. And then a stranger rings the doorbell...",Ram Gopal Varma,"Urmila Matondkar, Manoj Bajpayee, Sushant Singh",https://m.media-amazon.com/images/M/MV5BN2UyNWY3MzItMjVjMi00ZDc4LWFjMzctZjNmNzU5Zjg4MzkwXkEyXkFqcGc@._V1_.jpg,7.8,5532
91,tt5946128,Dear Zindagi,2016,"Drama, Romance","Kaira is a budding cinematographer in search of a perfect life. Her encounter with Jug, an unconventional thinker, helps her gain a new perspective on life. She discovers that happiness is all about finding comfort in life's imperfections.",Gauri Shinde,"Alia Bhatt, Shah Rukh Khan, Kunal Kapoor, Priyanka Moodley",https://m.media-amazon.com/images/M/MV5BZWQzYWI3ZGMtYzgyYy00OWZkLWEwODYtNGNiMTZhODBkNzUyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg,7.4,43635
92,tt9052870,Chhichhore,2019,"Comedy, Drama, Romance","A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",Nitesh Tiwari,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik Patil Babbar",https://m.media-amazon.com/images/M/MV5BODgwYWE2MGEtYTMwYi00NTg5LWEzOWYtNTFiZDc4NWMzODcyXkEyXkFqcGc@._V1_.jpg,8.3,63522
93,tt15145764,Freddy,2022,"Drama, Mystery, Romance",The lines between love and obsession blur in this romantic thriller packed with unpredictable twists and sharp turns.,Shashanka Ghosh,"Kartik Aaryan, Alaya F, Karan Pandit, Sajjad Delafrooz",https://m.media-amazon.com/images/M/MV5BNzdiYzMyZjktODRhOC00OWM1LWI4NWUtNTlkNjRjM2RkMjM5XkEyXkFqcGdeQXVyOTI3MzI4MzA@._V1_.jpg,7.4,34258
94,tt2178470,Yeh Jawaani Hai Deewani,2013,"Comedy, Drama, Musical","Kabir and Naina bond during a trekking trip. Before Naina can express herself, Kabir leaves India to pursue his career. They meet again years later, but he still cherishes his dreams more than bonds.",Ayan Mukerji,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapoor, Kalki Koechlin",https://m.media-amazon.com/images/M/MV5BODA4MjM2ODk4OF5BMl5BanBnXkFtZTcwNDgzODk1OQ@@._V1_.jpg,7.2,52468
95,tt7142506,Sir,2018,"Drama, Romance","A prosperous young Indian man falls in love with his servant, a widow with the dream of becoming a fashion designer.",Rohena Gera,"Tillotama Shome, Vivek Gomber, Geetanjali Kulkarni, Rahul Vohra",https://m.media-amazon.com/images/M/MV5BN2ZhMTI3MDctYTlhYy00NjBlLWEyOGEtYzE3MjM4MWFkNmQwXkEyXkFqcGdeQXVyNTA3NTQ4OTg@._V1_.jpg,7.7,8733
96,tt14295590,Mrs. Chatterjee vs. Norway,2023,"Biography, Drama",An immigrant Indian mother's battle against the Norwegian foster care system and local legal machinery to win back the custody of her children.,Ashima Chibber,"Rani Mukerji, Jim Sarbh, Bodhisattwa Majumdar, Saswati Guhathakurta",https://m.media-amazon.com/images/M/MV5BZjBlOTNiNzktMTllMy00YjlhLTg0ODMtZDQ1MjFiYjU4MGY1XkEyXkFqcGdeQXVyOTI3MzI4MzA@._V1_.jpg,7.3,10116
97,tt0374887,Munna Bhai M.B.B.S.,2003,"Comedy, Drama",A gangster sets out to fulfill his father's dream of becoming a doctor.,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Gracy Singh, Boman Irani",https://m.media-amazon.com/images/M/MV5BMDE3ZDYzZDctOWJiYS00MTE5LTk0NzgtOThhZTRmZDQ2ZmFjXkEyXkFqcGc@._V1_.jpg,8.1,88435
98,tt3495026,Fan,2016,"Action, Drama, Thriller",Gaurav's world revolves around the superstar Aryan Khanna. What happens when his passion turns into a dangerous obsession that crosses the fine line?,Maneesh Sharma,"Shah Rukh Khan, Shriya Pilgaonkar, Sayani Gupta, Waluscha D'Souza",https://m.media-amazon.com/images/M/MV5BNWFjOTA3NzQtODUzNS00MWRlLWE5Y2YtNmMyZjU3YzkxYzI4XkEyXkFqcGc@._V1_.jpg,6.9,49545
99,tt28540171,Welcome to the Jungle,2024, ,Police officers Jay Bakshi and Sandhya have been given task to track down notorious criminal Raj Solanki. Things take an unexpected turn when JaY finds out that Raj plays a significant role in his life.,Ahmed Khan,"Akshay Kumar, Sanjay Dutt, Disha Patani, Jacqueline Fernandez",https://m.media-amazon.com/images/M/MV5BOTZkNDQwMjQtNjA1OC00NjhmLWI3ZTEtMGEzZDQ5ZjZkMzEwXkEyXkFqcGc@._V1_.jpg,,
100,tt6148156,Vikram Vedha,2017,"Action, Crime, Drama","Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.","Gayatri, Pushkar, Gowtham Selvaraj","Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir",https://m.media-amazon.com/images/M/MV5BOTI0ODVlYjYtYTQ5Yi00OTlmLWI5NjEtYjM5ZWEyMDQ5ZjA5XkEyXkFqcGc@._V1_.jpg,8.2,50580
101,tt0169102,Lagaan: Once Upon a Time in India,2001,"Drama, Musical, Sport",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Ashutosh Gowariker,"Aamir Khan, Raghubir Yadav, Gracy Singh, Rachel Shelley",https://m.media-amazon.com/images/M/MV5BM2FmODM4OTktOTRjOS00ZTIzLWIzZjAtMDBhOGEzYThkNzMzXkEyXkFqcGc@._V1_.jpg,8.1,122545
102,tt28282716,Trial Period,2023,"Comedy, Drama",A working single mother's world turns upside down when her inquisitive son demands a new papa on a 30-day 'Trial Period'.,Aleya Sen,"Genelia Deshmukh, Manav Kaul, Shakti Kapoor, Sheeba Chaddha",https://m.media-amazon.com/images/M/MV5BOWEzNmRlZjMtYzYwMS00YTdmLWIwZTUtNThmYTJiNWM5Mjg1XkEyXkFqcGc@._V1_.jpg,7,6626
103,tt18413766,Kathal: A Jackfruit Mystery,2023,"Comedy, Crime, Drama",A local politician whose prized jackfruits go missing and a young police officer who is adamant to solve this bizarre case to prove herself.,Yashowardhan Mishra,"Sanya Malhotra, Joshi Anantvijay, Vijay Raaz, Rajpal Naurang Yadav",https://m.media-amazon.com/images/M/MV5BOGZlNjAzMzgtOTY0Ny00YzdiLWEyNGYtODJlMGM1MTE4ZmMwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,6.7,8940
104,tt10280296,Sardar Udham,2021,"Biography, Crime, Drama","A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.",Shoojit Sircar,"Vicky Kaushal, Shaun Scott, Stephen Hogan, Amol Parashar",https://m.media-amazon.com/images/M/MV5BZGFhNTYwZmMtNzk4Ny00MTExLThjMWUtNjYzMTEwZjEzMWQ3XkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_.jpg,8.4,47821
105,tt3679040,Kisi Ka Bhai Kisi Ki Jaan,2023,"Action, Comedy, Drama","The eldest brother refuses to marry since he believes it may create disharmony in his big family. His brothers, who've already found partners, come together to find a match for him.",Farhad Samji,"Salman Khan, Pooja Hegde, Venkatesh Daggubati, Jagapathi Babu",https://m.media-amazon.com/images/M/MV5BZjk0ZjlhNDctMzAwZC00ZTAyLTliZTItOTRiNjMzNTAxODY3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,4,40766
106,tt15134398,King of Kotha,2023,"Action, Drama, Thriller","In a crime-infested town, Kannan bhai and his gang are the reigning powers. To combat this reign and seek revenge, Inspector Shahul tactfully plots the return of the 'King', leading to a transformative turn of events.",Abhilash Joshiy,"Dulquer Salmaan, Aishwarya Lekshmi, Soubin Shahir, Ritika Singh",https://m.media-amazon.com/images/M/MV5BZWFkODBlNjgtYzk1NS00MDA3LWJhM2QtNjU2YzgxMjY1OTRmXkEyXkFqcGc@._V1_.jpg,6.1,8742
107,tt2016894,Ek Tha Tiger,2012,"Action, Adventure, Romance",India's top spy Tiger and his love Zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy.,"Mathur Goswami, Kabir Khan","Salman Khan, Katrina Kaif, Girish Karnad, Roshan Seth",https://m.media-amazon.com/images/M/MV5BZTEyMTlmYTUtMDE0My00NWJmLWJlZmEtNzhjNGI0Mzk0NTA4XkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_.jpg,5.6,38896
